category	explanation	question	opt0	opt1	opt2	opt3	gold
I.E; ANAGRAM; FILL; WORDPLAY	"Each sentence has two blanks. Put a word starting with """"up"""" in the first blank. Move the """"up"""" to the end, and you'll get a familiar phrase that goes in the second blank to complete the sentence. Example: Jane was visibly _____ to have been _____ on such a terrible blind date.   -->   UPSET, SET UP 1. The coach was surprisingly _____ after his team had been _____ so badly. 2. Get ready: The musician's new tune played on the _____ piano is coming _____. 3. An outlaw gang rode into the Wild West town, with the _____ being they completely _____ the place. 4. The child's unusual _____ by the parents is a matter the child's therapist keeps _____. 5. The cost of my house's _____ was so high, I was always frantically working to _____ with bills. 6. The teller tried to _____ her principle of treating everyone kindly during the bank _____. 7. The unexpected snowstorm _____ the family's vacation plans, and they _____ staying at home. 8. Even a slight _____ in an ailing economy is nothing to _____ your nose at. 9. A fine, _____ young person is always _____ for his or her ideals.  Last week's challenge: This challenge comes from listener Tom Arnold of Eugene, Ore. Take the name of a conveyance in 7 letters. Drop the middle letter, and the remaining letters can be rearranged to name the place where such a conveyance is often used. What is it?  Answer:   GONDOLA --> LAGOON Winner:   Michael LeBlanc of Ontario, Canada.  Next week's challenge: This challenge comes from listener Stuart Portnoy of Arlington, Va. Name a famous actor — first and last names. The last name is a well-known brand. Drop the last letter of the first name and you'll get the kind of product it's a brand of. Who is it? Submit Your Answer If you know the answer to next week's challenge, submit it here. Listeners who submit correct answers win a chance to play the on-air puzzle. Important: Include a phone number where we can reach you Thursday, Feb. 1 at 3 p.m. ET."	Get ready: The musician's new tune played on the _____ piano is coming _____.	upshot, shot up	upright, right up	upbeat, beat up	upended, ended up	1
I.E; ANAGRAM; FILL; WORDPLAY	"Each sentence has two blanks. Put a word starting with """"up"""" in the first blank. Move the """"up"""" to the end, and you'll get a familiar phrase that goes in the second blank to complete the sentence. Example: Jane was visibly _____ to have been _____ on such a terrible blind date.   -->   UPSET, SET UP 1. The coach was surprisingly _____ after his team had been _____ so badly. 2. Get ready: The musician's new tune played on the _____ piano is coming _____. 3. An outlaw gang rode into the Wild West town, with the _____ being they completely _____ the place. 4. The child's unusual _____ by the parents is a matter the child's therapist keeps _____. 5. The cost of my house's _____ was so high, I was always frantically working to _____ with bills. 6. The teller tried to _____ her principle of treating everyone kindly during the bank _____. 7. The unexpected snowstorm _____ the family's vacation plans, and they _____ staying at home. 8. Even a slight _____ in an ailing economy is nothing to _____ your nose at. 9. A fine, _____ young person is always _____ for his or her ideals.  Last week's challenge: This challenge comes from listener Tom Arnold of Eugene, Ore. Take the name of a conveyance in 7 letters. Drop the middle letter, and the remaining letters can be rearranged to name the place where such a conveyance is often used. What is it?  Answer:   GONDOLA --> LAGOON Winner:   Michael LeBlanc of Ontario, Canada.  Next week's challenge: This challenge comes from listener Stuart Portnoy of Arlington, Va. Name a famous actor — first and last names. The last name is a well-known brand. Drop the last letter of the first name and you'll get the kind of product it's a brand of. Who is it? Submit Your Answer If you know the answer to next week's challenge, submit it here. Listeners who submit correct answers win a chance to play the on-air puzzle. Important: Include a phone number where we can reach you Thursday, Feb. 1 at 3 p.m. ET."	An outlaw gang rode into the Wild West town, with the _____ being they completely _____ the place.	upshot, shot up	upright, right up	upstanding, standing up	uphold, hold up	0
I.E; ANAGRAM; FILL; WORDPLAY	"Each sentence has two blanks. Put a word starting with """"up"""" in the first blank. Move the """"up"""" to the end, and you'll get a familiar phrase that goes in the second blank to complete the sentence. Example: Jane was visibly _____ to have been _____ on such a terrible blind date.   -->   UPSET, SET UP 1. The coach was surprisingly _____ after his team had been _____ so badly. 2. Get ready: The musician's new tune played on the _____ piano is coming _____. 3. An outlaw gang rode into the Wild West town, with the _____ being they completely _____ the place. 4. The child's unusual _____ by the parents is a matter the child's therapist keeps _____. 5. The cost of my house's _____ was so high, I was always frantically working to _____ with bills. 6. The teller tried to _____ her principle of treating everyone kindly during the bank _____. 7. The unexpected snowstorm _____ the family's vacation plans, and they _____ staying at home. 8. Even a slight _____ in an ailing economy is nothing to _____ your nose at. 9. A fine, _____ young person is always _____ for his or her ideals.  Last week's challenge: This challenge comes from listener Tom Arnold of Eugene, Ore. Take the name of a conveyance in 7 letters. Drop the middle letter, and the remaining letters can be rearranged to name the place where such a conveyance is often used. What is it?  Answer:   GONDOLA --> LAGOON Winner:   Michael LeBlanc of Ontario, Canada.  Next week's challenge: This challenge comes from listener Stuart Portnoy of Arlington, Va. Name a famous actor — first and last names. The last name is a well-known brand. Drop the last letter of the first name and you'll get the kind of product it's a brand of. Who is it? Submit Your Answer If you know the answer to next week's challenge, submit it here. Listeners who submit correct answers win a chance to play the on-air puzzle. Important: Include a phone number where we can reach you Thursday, Feb. 1 at 3 p.m. ET."	The cost of my house's _____ was so high, I was always frantically working to _____ with bills.	upright, right up	upbeat, beat up	upkeep, keep up	upstanding, standing up	2
I.E; ANAGRAM; FILL; WORDPLAY	"Each sentence has two blanks. Put a word starting with """"up"""" in the first blank. Move the """"up"""" to the end, and you'll get a familiar phrase that goes in the second blank to complete the sentence. Example: Jane was visibly _____ to have been _____ on such a terrible blind date.   -->   UPSET, SET UP 1. The coach was surprisingly _____ after his team had been _____ so badly. 2. Get ready: The musician's new tune played on the _____ piano is coming _____. 3. An outlaw gang rode into the Wild West town, with the _____ being they completely _____ the place. 4. The child's unusual _____ by the parents is a matter the child's therapist keeps _____. 5. The cost of my house's _____ was so high, I was always frantically working to _____ with bills. 6. The teller tried to _____ her principle of treating everyone kindly during the bank _____. 7. The unexpected snowstorm _____ the family's vacation plans, and they _____ staying at home. 8. Even a slight _____ in an ailing economy is nothing to _____ your nose at. 9. A fine, _____ young person is always _____ for his or her ideals.  Last week's challenge: This challenge comes from listener Tom Arnold of Eugene, Ore. Take the name of a conveyance in 7 letters. Drop the middle letter, and the remaining letters can be rearranged to name the place where such a conveyance is often used. What is it?  Answer:   GONDOLA --> LAGOON Winner:   Michael LeBlanc of Ontario, Canada.  Next week's challenge: This challenge comes from listener Stuart Portnoy of Arlington, Va. Name a famous actor — first and last names. The last name is a well-known brand. Drop the last letter of the first name and you'll get the kind of product it's a brand of. Who is it? Submit Your Answer If you know the answer to next week's challenge, submit it here. Listeners who submit correct answers win a chance to play the on-air puzzle. Important: Include a phone number where we can reach you Thursday, Feb. 1 at 3 p.m. ET."	The teller tried to _____ her principle of treating everyone kindly during the bank _____.	upkeep, keep up	upended, ended up	uphold, hold up	upright, right up	2
I.E; ANAGRAM; FILL; WORDPLAY	"Each sentence has two blanks. Put a word starting with """"up"""" in the first blank. Move the """"up"""" to the end, and you'll get a familiar phrase that goes in the second blank to complete the sentence. Example: Jane was visibly _____ to have been _____ on such a terrible blind date.   -->   UPSET, SET UP 1. The coach was surprisingly _____ after his team had been _____ so badly. 2. Get ready: The musician's new tune played on the _____ piano is coming _____. 3. An outlaw gang rode into the Wild West town, with the _____ being they completely _____ the place. 4. The child's unusual _____ by the parents is a matter the child's therapist keeps _____. 5. The cost of my house's _____ was so high, I was always frantically working to _____ with bills. 6. The teller tried to _____ her principle of treating everyone kindly during the bank _____. 7. The unexpected snowstorm _____ the family's vacation plans, and they _____ staying at home. 8. Even a slight _____ in an ailing economy is nothing to _____ your nose at. 9. A fine, _____ young person is always _____ for his or her ideals.  Last week's challenge: This challenge comes from listener Tom Arnold of Eugene, Ore. Take the name of a conveyance in 7 letters. Drop the middle letter, and the remaining letters can be rearranged to name the place where such a conveyance is often used. What is it?  Answer:   GONDOLA --> LAGOON Winner:   Michael LeBlanc of Ontario, Canada.  Next week's challenge: This challenge comes from listener Stuart Portnoy of Arlington, Va. Name a famous actor — first and last names. The last name is a well-known brand. Drop the last letter of the first name and you'll get the kind of product it's a brand of. Who is it? Submit Your Answer If you know the answer to next week's challenge, submit it here. Listeners who submit correct answers win a chance to play the on-air puzzle. Important: Include a phone number where we can reach you Thursday, Feb. 1 at 3 p.m. ET."	The unexpected snowstorm _____ the family's vacation plans, and they _____ staying at home.	uphold, hold up	upkeep, keep up	upshot, shot up	upended, ended up	3
I.E; ANAGRAM; FILL; WORDPLAY	"Each sentence has two blanks. Put a word starting with """"up"""" in the first blank. Move the """"up"""" to the end, and you'll get a familiar phrase that goes in the second blank to complete the sentence. Example: Jane was visibly _____ to have been _____ on such a terrible blind date.   -->   UPSET, SET UP 1. The coach was surprisingly _____ after his team had been _____ so badly. 2. Get ready: The musician's new tune played on the _____ piano is coming _____. 3. An outlaw gang rode into the Wild West town, with the _____ being they completely _____ the place. 4. The child's unusual _____ by the parents is a matter the child's therapist keeps _____. 5. The cost of my house's _____ was so high, I was always frantically working to _____ with bills. 6. The teller tried to _____ her principle of treating everyone kindly during the bank _____. 7. The unexpected snowstorm _____ the family's vacation plans, and they _____ staying at home. 8. Even a slight _____ in an ailing economy is nothing to _____ your nose at. 9. A fine, _____ young person is always _____ for his or her ideals.  Last week's challenge: This challenge comes from listener Tom Arnold of Eugene, Ore. Take the name of a conveyance in 7 letters. Drop the middle letter, and the remaining letters can be rearranged to name the place where such a conveyance is often used. What is it?  Answer:   GONDOLA --> LAGOON Winner:   Michael LeBlanc of Ontario, Canada.  Next week's challenge: This challenge comes from listener Stuart Portnoy of Arlington, Va. Name a famous actor — first and last names. The last name is a well-known brand. Drop the last letter of the first name and you'll get the kind of product it's a brand of. Who is it? Submit Your Answer If you know the answer to next week's challenge, submit it here. Listeners who submit correct answers win a chance to play the on-air puzzle. Important: Include a phone number where we can reach you Thursday, Feb. 1 at 3 p.m. ET."	Even a slight _____ in an ailing economy is nothing to _____ your nose at.	upshot, shot up	upkeep, keep up	upbringing, bringing up	upturn, turn up	3
I.E; ANAGRAM; FILL; WORDPLAY	"Each sentence has two blanks. Put a word starting with """"up"""" in the first blank. Move the """"up"""" to the end, and you'll get a familiar phrase that goes in the second blank to complete the sentence. Example: Jane was visibly _____ to have been _____ on such a terrible blind date.   -->   UPSET, SET UP 1. The coach was surprisingly _____ after his team had been _____ so badly. 2. Get ready: The musician's new tune played on the _____ piano is coming _____. 3. An outlaw gang rode into the Wild West town, with the _____ being they completely _____ the place. 4. The child's unusual _____ by the parents is a matter the child's therapist keeps _____. 5. The cost of my house's _____ was so high, I was always frantically working to _____ with bills. 6. The teller tried to _____ her principle of treating everyone kindly during the bank _____. 7. The unexpected snowstorm _____ the family's vacation plans, and they _____ staying at home. 8. Even a slight _____ in an ailing economy is nothing to _____ your nose at. 9. A fine, _____ young person is always _____ for his or her ideals.  Last week's challenge: This challenge comes from listener Tom Arnold of Eugene, Ore. Take the name of a conveyance in 7 letters. Drop the middle letter, and the remaining letters can be rearranged to name the place where such a conveyance is often used. What is it?  Answer:   GONDOLA --> LAGOON Winner:   Michael LeBlanc of Ontario, Canada.  Next week's challenge: This challenge comes from listener Stuart Portnoy of Arlington, Va. Name a famous actor — first and last names. The last name is a well-known brand. Drop the last letter of the first name and you'll get the kind of product it's a brand of. Who is it? Submit Your Answer If you know the answer to next week's challenge, submit it here. Listeners who submit correct answers win a chance to play the on-air puzzle. Important: Include a phone number where we can reach you Thursday, Feb. 1 at 3 p.m. ET."	A fine, _____ young person is always _____ for his or her ideals.	upbeat, beat up	upkeep, keep up	upshot, shot up	upstanding, standing up	3
OTHER	I'm going to give you three 5-letter words. You give me a fourth 5-letter word that can precede each of mine to complete a compound word or a familiar 2-word phrase.	alley, trust, faith	blind	lucky	white	short	0
OTHER	I'm going to give you three 5-letter words. You give me a fourth 5-letter word that can precede each of mine to complete a compound word or a familiar 2-word phrase.	whale, noise, pages	blind	round	light	white	3
OTHER	I'm going to give you three 5-letter words. You give me a fourth 5-letter word that can precede each of mine to complete a compound word or a familiar 2-word phrase.	alarm, teeth, front	round	lucky	FALSE	blind	2
OTHER	I'm going to give you three 5-letter words. You give me a fourth 5-letter word that can precede each of mine to complete a compound word or a familiar 2-word phrase.	speed, opera, touch	short	white	light	lucky	2
OTHER	I'm going to give you three 5-letter words. You give me a fourth 5-letter word that can precede each of mine to complete a compound word or a familiar 2-word phrase.	child, piano, total	grand	white	blind	short	0
OTHER	I'm going to give you three 5-letter words. You give me a fourth 5-letter word that can precede each of mine to complete a compound word or a familiar 2-word phrase.	charm, guess, stiff	lucky	round	blind	white	0
OTHER	I'm going to give you three 5-letter words. You give me a fourth 5-letter word that can precede each of mine to complete a compound word or a familiar 2-word phrase.	story, order, bread	blind	short	grand	round	1
OTHER	I'm going to give you three 5-letter words. You give me a fourth 5-letter word that can precede each of mine to complete a compound word or a familiar 2-word phrase.	robin, dance, table	lucky	light	round	grand	2
I.E; CONTAIN; WORDPLAY	"NPR stands for National Public Radio, of course. But the letters N-P-R are also the initials of """"nail polish remover."""" I'm going to give you clues to some other three-word names and phrases whose initials stand for better-known things.  1. I.C.C. (Interstate Commerce Commission) — Basic purchase at Dairy Queen2. S.L.R. (Single-Lens Reflex) — Waterway past Montreal and Quebec3. N.F.L. (National Football League) — Principle that an object at rest stays at rest unless acted upon4. B.B.C. (British Broadcasting Corporaton) — Noted Wild West showman5. J.F.K. (John Fitzgerald Kennedy) — Not with any serious purpose in mind6. D.D.S. (Doctor of dental surgery) — Means of classification of library books7. F.T.C. (Federal Trade Commission) — Something you're said to search with if you do a very careful search8. B.F.F. (Best friends forever) — Event for cinephiles in Germany9. L.C.D. (Light-emitting diode or lowest common denominator) — Rimsky-Korsakov opera whose French title translates as """"The Golden Cockerel""""10. N.B.C. (National Broadcasting Company) — Evening of December 24 Last week's challenge: This challenge came from listener Neville Fogarty of Newport News, Va. Think of a convenience introduced in the 19th century that is still around today. Its name has two words. Take the first three letters of the first word and the first letter of its second word, in order, to get a convenience introduced in the 21st century that serves a similar purpose. Their names are otherwise unrelated. What two conveniences are these?Answer: Yellow Pages --> Yelp Winner: Kevin Devine of Marlborough, Mass. Next week's challenge: The name of what well-known U.S. city, in 10 letters, contains only three different letters of the alphabet? Submit Your Answer If you know the answer to next week's challenge, submit it here. Listeners who submit correct answers win a chance to play the on-air puzzle. Important: Include a phone number where we can reach you Thursday, Dec. 28 at 3 p.m. ET."	I.C.C. (Interstate Commerce Commission) — Basic purchase at Dairy Queen	ice cream cone	Newton’s First Law	Berlin (International) Film Festival	Le Coq d’Or	0
I.E; CONTAIN; WORDPLAY	"NPR stands for National Public Radio, of course. But the letters N-P-R are also the initials of """"nail polish remover."""" I'm going to give you clues to some other three-word names and phrases whose initials stand for better-known things.  1. I.C.C. (Interstate Commerce Commission) — Basic purchase at Dairy Queen2. S.L.R. (Single-Lens Reflex) — Waterway past Montreal and Quebec3. N.F.L. (National Football League) — Principle that an object at rest stays at rest unless acted upon4. B.B.C. (British Broadcasting Corporaton) — Noted Wild West showman5. J.F.K. (John Fitzgerald Kennedy) — Not with any serious purpose in mind6. D.D.S. (Doctor of dental surgery) — Means of classification of library books7. F.T.C. (Federal Trade Commission) — Something you're said to search with if you do a very careful search8. B.F.F. (Best friends forever) — Event for cinephiles in Germany9. L.C.D. (Light-emitting diode or lowest common denominator) — Rimsky-Korsakov opera whose French title translates as """"The Golden Cockerel""""10. N.B.C. (National Broadcasting Company) — Evening of December 24 Last week's challenge: This challenge came from listener Neville Fogarty of Newport News, Va. Think of a convenience introduced in the 19th century that is still around today. Its name has two words. Take the first three letters of the first word and the first letter of its second word, in order, to get a convenience introduced in the 21st century that serves a similar purpose. Their names are otherwise unrelated. What two conveniences are these?Answer: Yellow Pages --> Yelp Winner: Kevin Devine of Marlborough, Mass. Next week's challenge: The name of what well-known U.S. city, in 10 letters, contains only three different letters of the alphabet? Submit Your Answer If you know the answer to next week's challenge, submit it here. Listeners who submit correct answers win a chance to play the on-air puzzle. Important: Include a phone number where we can reach you Thursday, Dec. 28 at 3 p.m. ET."	S.L.R. (Single-Lens Reflex) — Waterway past Montreal and Quebec	just for kicks	Berlin (International) Film Festival	Newton’s First Law	St. Lawrence River	3
I.E; CONTAIN; WORDPLAY	"NPR stands for National Public Radio, of course. But the letters N-P-R are also the initials of """"nail polish remover."""" I'm going to give you clues to some other three-word names and phrases whose initials stand for better-known things.  1. I.C.C. (Interstate Commerce Commission) — Basic purchase at Dairy Queen2. S.L.R. (Single-Lens Reflex) — Waterway past Montreal and Quebec3. N.F.L. (National Football League) — Principle that an object at rest stays at rest unless acted upon4. B.B.C. (British Broadcasting Corporaton) — Noted Wild West showman5. J.F.K. (John Fitzgerald Kennedy) — Not with any serious purpose in mind6. D.D.S. (Doctor of dental surgery) — Means of classification of library books7. F.T.C. (Federal Trade Commission) — Something you're said to search with if you do a very careful search8. B.F.F. (Best friends forever) — Event for cinephiles in Germany9. L.C.D. (Light-emitting diode or lowest common denominator) — Rimsky-Korsakov opera whose French title translates as """"The Golden Cockerel""""10. N.B.C. (National Broadcasting Company) — Evening of December 24 Last week's challenge: This challenge came from listener Neville Fogarty of Newport News, Va. Think of a convenience introduced in the 19th century that is still around today. Its name has two words. Take the first three letters of the first word and the first letter of its second word, in order, to get a convenience introduced in the 21st century that serves a similar purpose. Their names are otherwise unrelated. What two conveniences are these?Answer: Yellow Pages --> Yelp Winner: Kevin Devine of Marlborough, Mass. Next week's challenge: The name of what well-known U.S. city, in 10 letters, contains only three different letters of the alphabet? Submit Your Answer If you know the answer to next week's challenge, submit it here. Listeners who submit correct answers win a chance to play the on-air puzzle. Important: Include a phone number where we can reach you Thursday, Dec. 28 at 3 p.m. ET."	N.F.L. (National Football League) — Principle that an object at rest stays at rest unless acted upon	night before Christmas	Newton’s First Law	just for kicks	ice cream cone	1
I.E; CONTAIN; WORDPLAY	"NPR stands for National Public Radio, of course. But the letters N-P-R are also the initials of """"nail polish remover."""" I'm going to give you clues to some other three-word names and phrases whose initials stand for better-known things.  1. I.C.C. (Interstate Commerce Commission) — Basic purchase at Dairy Queen2. S.L.R. (Single-Lens Reflex) — Waterway past Montreal and Quebec3. N.F.L. (National Football League) — Principle that an object at rest stays at rest unless acted upon4. B.B.C. (British Broadcasting Corporaton) — Noted Wild West showman5. J.F.K. (John Fitzgerald Kennedy) — Not with any serious purpose in mind6. D.D.S. (Doctor of dental surgery) — Means of classification of library books7. F.T.C. (Federal Trade Commission) — Something you're said to search with if you do a very careful search8. B.F.F. (Best friends forever) — Event for cinephiles in Germany9. L.C.D. (Light-emitting diode or lowest common denominator) — Rimsky-Korsakov opera whose French title translates as """"The Golden Cockerel""""10. N.B.C. (National Broadcasting Company) — Evening of December 24 Last week's challenge: This challenge came from listener Neville Fogarty of Newport News, Va. Think of a convenience introduced in the 19th century that is still around today. Its name has two words. Take the first three letters of the first word and the first letter of its second word, in order, to get a convenience introduced in the 21st century that serves a similar purpose. Their names are otherwise unrelated. What two conveniences are these?Answer: Yellow Pages --> Yelp Winner: Kevin Devine of Marlborough, Mass. Next week's challenge: The name of what well-known U.S. city, in 10 letters, contains only three different letters of the alphabet? Submit Your Answer If you know the answer to next week's challenge, submit it here. Listeners who submit correct answers win a chance to play the on-air puzzle. Important: Include a phone number where we can reach you Thursday, Dec. 28 at 3 p.m. ET."	J.F.K. (John Fitzgerald Kennedy) — Not with any serious purpose in mind	St. Lawrence River	Newton’s First Law	just for kicks	Dewey Decimal System	2
I.E; CONTAIN; WORDPLAY	"NPR stands for National Public Radio, of course. But the letters N-P-R are also the initials of """"nail polish remover."""" I'm going to give you clues to some other three-word names and phrases whose initials stand for better-known things.  1. I.C.C. (Interstate Commerce Commission) — Basic purchase at Dairy Queen2. S.L.R. (Single-Lens Reflex) — Waterway past Montreal and Quebec3. N.F.L. (National Football League) — Principle that an object at rest stays at rest unless acted upon4. B.B.C. (British Broadcasting Corporaton) — Noted Wild West showman5. J.F.K. (John Fitzgerald Kennedy) — Not with any serious purpose in mind6. D.D.S. (Doctor of dental surgery) — Means of classification of library books7. F.T.C. (Federal Trade Commission) — Something you're said to search with if you do a very careful search8. B.F.F. (Best friends forever) — Event for cinephiles in Germany9. L.C.D. (Light-emitting diode or lowest common denominator) — Rimsky-Korsakov opera whose French title translates as """"The Golden Cockerel""""10. N.B.C. (National Broadcasting Company) — Evening of December 24 Last week's challenge: This challenge came from listener Neville Fogarty of Newport News, Va. Think of a convenience introduced in the 19th century that is still around today. Its name has two words. Take the first three letters of the first word and the first letter of its second word, in order, to get a convenience introduced in the 21st century that serves a similar purpose. Their names are otherwise unrelated. What two conveniences are these?Answer: Yellow Pages --> Yelp Winner: Kevin Devine of Marlborough, Mass. Next week's challenge: The name of what well-known U.S. city, in 10 letters, contains only three different letters of the alphabet? Submit Your Answer If you know the answer to next week's challenge, submit it here. Listeners who submit correct answers win a chance to play the on-air puzzle. Important: Include a phone number where we can reach you Thursday, Dec. 28 at 3 p.m. ET."	D.D.S. (Doctor of dental surgery) — Means of classification of library books	night before Christmas	Dewey Decimal System	Berlin (International) Film Festival	St. Lawrence River	1
I.E; CONTAIN; WORDPLAY	"NPR stands for National Public Radio, of course. But the letters N-P-R are also the initials of """"nail polish remover."""" I'm going to give you clues to some other three-word names and phrases whose initials stand for better-known things.  1. I.C.C. (Interstate Commerce Commission) — Basic purchase at Dairy Queen2. S.L.R. (Single-Lens Reflex) — Waterway past Montreal and Quebec3. N.F.L. (National Football League) — Principle that an object at rest stays at rest unless acted upon4. B.B.C. (British Broadcasting Corporaton) — Noted Wild West showman5. J.F.K. (John Fitzgerald Kennedy) — Not with any serious purpose in mind6. D.D.S. (Doctor of dental surgery) — Means of classification of library books7. F.T.C. (Federal Trade Commission) — Something you're said to search with if you do a very careful search8. B.F.F. (Best friends forever) — Event for cinephiles in Germany9. L.C.D. (Light-emitting diode or lowest common denominator) — Rimsky-Korsakov opera whose French title translates as """"The Golden Cockerel""""10. N.B.C. (National Broadcasting Company) — Evening of December 24 Last week's challenge: This challenge came from listener Neville Fogarty of Newport News, Va. Think of a convenience introduced in the 19th century that is still around today. Its name has two words. Take the first three letters of the first word and the first letter of its second word, in order, to get a convenience introduced in the 21st century that serves a similar purpose. Their names are otherwise unrelated. What two conveniences are these?Answer: Yellow Pages --> Yelp Winner: Kevin Devine of Marlborough, Mass. Next week's challenge: The name of what well-known U.S. city, in 10 letters, contains only three different letters of the alphabet? Submit Your Answer If you know the answer to next week's challenge, submit it here. Listeners who submit correct answers win a chance to play the on-air puzzle. Important: Include a phone number where we can reach you Thursday, Dec. 28 at 3 p.m. ET."	F.T.C. (Federal Trade Commission) — Something you're said to search with if you do a very careful search	fine tooth comb	Berlin (International) Film Festival	ice cream cone	night before Christmas	0
I.E; CONTAIN; WORDPLAY	"NPR stands for National Public Radio, of course. But the letters N-P-R are also the initials of """"nail polish remover."""" I'm going to give you clues to some other three-word names and phrases whose initials stand for better-known things.  1. I.C.C. (Interstate Commerce Commission) — Basic purchase at Dairy Queen2. S.L.R. (Single-Lens Reflex) — Waterway past Montreal and Quebec3. N.F.L. (National Football League) — Principle that an object at rest stays at rest unless acted upon4. B.B.C. (British Broadcasting Corporaton) — Noted Wild West showman5. J.F.K. (John Fitzgerald Kennedy) — Not with any serious purpose in mind6. D.D.S. (Doctor of dental surgery) — Means of classification of library books7. F.T.C. (Federal Trade Commission) — Something you're said to search with if you do a very careful search8. B.F.F. (Best friends forever) — Event for cinephiles in Germany9. L.C.D. (Light-emitting diode or lowest common denominator) — Rimsky-Korsakov opera whose French title translates as """"The Golden Cockerel""""10. N.B.C. (National Broadcasting Company) — Evening of December 24 Last week's challenge: This challenge came from listener Neville Fogarty of Newport News, Va. Think of a convenience introduced in the 19th century that is still around today. Its name has two words. Take the first three letters of the first word and the first letter of its second word, in order, to get a convenience introduced in the 21st century that serves a similar purpose. Their names are otherwise unrelated. What two conveniences are these?Answer: Yellow Pages --> Yelp Winner: Kevin Devine of Marlborough, Mass. Next week's challenge: The name of what well-known U.S. city, in 10 letters, contains only three different letters of the alphabet? Submit Your Answer If you know the answer to next week's challenge, submit it here. Listeners who submit correct answers win a chance to play the on-air puzzle. Important: Include a phone number where we can reach you Thursday, Dec. 28 at 3 p.m. ET."	B.F.F. (Best friends forever) — Event for cinephiles in Germany	Newton’s First Law	Le Coq d’Or	Berlin (International) Film Festival	fine tooth comb	2
I.E; CONTAIN; WORDPLAY	"NPR stands for National Public Radio, of course. But the letters N-P-R are also the initials of """"nail polish remover."""" I'm going to give you clues to some other three-word names and phrases whose initials stand for better-known things.  1. I.C.C. (Interstate Commerce Commission) — Basic purchase at Dairy Queen2. S.L.R. (Single-Lens Reflex) — Waterway past Montreal and Quebec3. N.F.L. (National Football League) — Principle that an object at rest stays at rest unless acted upon4. B.B.C. (British Broadcasting Corporaton) — Noted Wild West showman5. J.F.K. (John Fitzgerald Kennedy) — Not with any serious purpose in mind6. D.D.S. (Doctor of dental surgery) — Means of classification of library books7. F.T.C. (Federal Trade Commission) — Something you're said to search with if you do a very careful search8. B.F.F. (Best friends forever) — Event for cinephiles in Germany9. L.C.D. (Light-emitting diode or lowest common denominator) — Rimsky-Korsakov opera whose French title translates as """"The Golden Cockerel""""10. N.B.C. (National Broadcasting Company) — Evening of December 24 Last week's challenge: This challenge came from listener Neville Fogarty of Newport News, Va. Think of a convenience introduced in the 19th century that is still around today. Its name has two words. Take the first three letters of the first word and the first letter of its second word, in order, to get a convenience introduced in the 21st century that serves a similar purpose. Their names are otherwise unrelated. What two conveniences are these?Answer: Yellow Pages --> Yelp Winner: Kevin Devine of Marlborough, Mass. Next week's challenge: The name of what well-known U.S. city, in 10 letters, contains only three different letters of the alphabet? Submit Your Answer If you know the answer to next week's challenge, submit it here. Listeners who submit correct answers win a chance to play the on-air puzzle. Important: Include a phone number where we can reach you Thursday, Dec. 28 at 3 p.m. ET."	"L.C.D. (Light-emitting diode or lowest common denominator) — Rimsky-Korsakov opera whose French title translates as """"The Golden Cockerel”"	fine tooth comb	Le Coq d’Or	just for kicks	Berlin (International) Film Festival	1
I.E; CONTAIN; WORDPLAY	"NPR stands for National Public Radio, of course. But the letters N-P-R are also the initials of """"nail polish remover."""" I'm going to give you clues to some other three-word names and phrases whose initials stand for better-known things.  1. I.C.C. (Interstate Commerce Commission) — Basic purchase at Dairy Queen2. S.L.R. (Single-Lens Reflex) — Waterway past Montreal and Quebec3. N.F.L. (National Football League) — Principle that an object at rest stays at rest unless acted upon4. B.B.C. (British Broadcasting Corporaton) — Noted Wild West showman5. J.F.K. (John Fitzgerald Kennedy) — Not with any serious purpose in mind6. D.D.S. (Doctor of dental surgery) — Means of classification of library books7. F.T.C. (Federal Trade Commission) — Something you're said to search with if you do a very careful search8. B.F.F. (Best friends forever) — Event for cinephiles in Germany9. L.C.D. (Light-emitting diode or lowest common denominator) — Rimsky-Korsakov opera whose French title translates as """"The Golden Cockerel""""10. N.B.C. (National Broadcasting Company) — Evening of December 24 Last week's challenge: This challenge came from listener Neville Fogarty of Newport News, Va. Think of a convenience introduced in the 19th century that is still around today. Its name has two words. Take the first three letters of the first word and the first letter of its second word, in order, to get a convenience introduced in the 21st century that serves a similar purpose. Their names are otherwise unrelated. What two conveniences are these?Answer: Yellow Pages --> Yelp Winner: Kevin Devine of Marlborough, Mass. Next week's challenge: The name of what well-known U.S. city, in 10 letters, contains only three different letters of the alphabet? Submit Your Answer If you know the answer to next week's challenge, submit it here. Listeners who submit correct answers win a chance to play the on-air puzzle. Important: Include a phone number where we can reach you Thursday, Dec. 28 at 3 p.m. ET."	N.B.C. (National Broadcasting Company) — Evening of December 24	fine tooth comb	St. Lawrence River	night before Christmas	Le Coq d’Or	2
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	Only U.S. president to serve two nonconsecutive terms	Fla.	Easton	Oh.	Pa.	2
OTHER	Every answer today is the name of a famous person whose last name is the name of a well-known U.S. city.	Author of the Nancy Drew books [N.H.]	Houston	Keene	Alas.	Redding	1
